Index,0 [UBYTE(0x3)][0x6],1 [UBYTE(0x3)][0x7],2 [BBOOL(0x19)][0x10],3 [UBYTE(0x3)][0x8],4 [UBYTE(0x3)][0x9],5 [UBYTE(0x3)][0xa],6 [STRING(0x0)][0x0],7 [UBYTE(0x3)][0xb],8 [UBYTE(0x3)][0xc],9 [UBYTE(0x3)][0xd],10 [UBYTE(0x3)][0xe],11 [UBYTE(0x3)][0xf],12 [USHORT(0x5)][0x4],13 [BBOOL(0x1a)][0x10],14 [BBOOL(0x1b)][0x10],15 [BBOOL(0x1c)][0x10],16 [BBOOL(0x1d)][0x10],17 [BBOOL(0x1e)][0x10]
0,0,1,false,0,0,0,"",0,0,0,0,0,0,false,false,true,false,true
1,0,1,false,0,1,0,"battle/Battle Start",0,0,0,2,3,0,false,false,true,false,true
2,0,1,false,0,1,0,"battle/Battle End",0,0,0,1,3,0,false,false,true,false,true
3,0,0,true,0,0,0,"normal/Idle",0,2,0,2,3,55,false,false,true,false,true
4,0,1,false,0,0,0,"normal/Idle inactive 1",0,2,0,2,3,0,false,false,true,false,true
5,0,1,false,0,0,0,"normal/idle inactive 2",0,2,0,2,3,0,false,false,true,false,true
6,0,1,false,0,0,0,"normal/idle inactive 3",0,2,0,2,3,0,false,false,true,false,true
7,0,0,true,0,0,0,"normal/Turning Left",0,2,0,2,3,0,false,false,true,false,true
8,0,0,true,0,0,0,"normal/Turning Right",0,2,0,2,3,0,false,false,true,false,true
9,0,1,false,0,0,0,"",0,0,0,0,0,0,false,false,false,false,true
10,0,1,false,0,0,0,"",0,0,0,0,0,0,false,false,false,false,true
11,0,1,false,0,0,0,"",0,0,0,0,0,0,false,false,false,false,true
12,0,1,false,0,0,0,"",0,0,0,0,0,0,false,false,false,false,true
13,0,0,true,0,0,0,"normal/Walking",0,2,0,2,3,0,false,false,true,false,true
14,0,0,true,0,0,0,"normal/Walking Left",0,2,0,2,3,0,false,false,true,false,true
15,0,0,true,0,0,0,"normal/Walking Right",0,2,0,2,3,0,false,false,true,false,true
16,0,0,true,0,0,0,"normal/Walking Back",0,2,0,2,3,0,false,false,true,false,true
17,0,1,false,0,0,0,"normal/Walk Start",0,2,0,2,3,0,false,false,true,false,true
18,0,1,false,0,0,0,"normal/Walk Start Right",0,2,0,2,3,0,false,false,true,false,true
19,0,1,false,0,0,0,"normal/Walk Start Left",0,2,0,2,3,0,false,false,true,false,true
20,0,1,false,0,0,0,"normal/walk_end_l",0,2,0,2,3,0,false,false,true,false,true
21,0,1,false,0,0,0,"",0,0,0,0,0,0,false,false,false,false,true
22,0,0,true,0,0,0,"normal/Run",0,2,0,2,3,0,false,false,true,false,true
23,0,0,true,0,0,0,"normal/Run Left",0,2,0,2,3,0,false,false,true,false,true
24,0,0,true,0,0,0,"normal/Run Right",0,2,0,2,3,0,false,false,true,false,true
25,0,1,false,0,0,0,"normal/Run Start",0,2,0,2,3,0,false,false,true,false,true
26,0,1,false,0,0,0,"normal/Run Start Right",0,2,0,2,3,0,false,false,true,false,true
27,0,1,false,0,0,0,"normal/Run Start Left",0,2,0,2,3,0,false,false,true,false,true
28,0,1,false,0,0,0,"normal/Run End",0,2,0,2,3,0,false,false,true,false,true
29,0,1,false,0,0,0,"",0,0,0,0,0,0,false,false,false,false,true
30,0,0,true,0,0,0,"normal/Sprint",0,2,0,2,3,0,false,false,true,true,true
31,0,1,false,0,0,0,"normal/Jump Start",0,2,0,2,3,0,false,false,true,false,true
32,0,0,false,0,0,0,"normal/Jump Fall",0,2,0,2,3,0,false,false,true,false,true
33,0,1,false,0,0,0,"normal/Jump Land",0,2,0,2,3,0,false,false,true,false,true
34,0,0,true,0,0,2,"battle/Battle Idle",0,1,0,1,3,0,false,false,true,false,true
35,0,0,true,0,0,0,"battle/Battle Turn Left",0,1,0,1,3,0,false,false,true,false,true
36,0,0,true,0,0,0,"battle/Battle Turn Right",0,1,0,1,3,0,false,false,true,false,true
37,0,3,true,0,0,1,"event_base/Knee Suffering",1,2,1,2,3,0,true,false,true,false,true
38,0,5,false,0,0,1,"mount/mount_dead",0,2,0,2,1,0,false,false,true,false,true
39,0,1,false,0,0,0,"",0,0,0,0,0,0,false,false,false,false,true
40,0,1,false,0,0,0,"",0,0,0,0,0,0,false,false,false,false,true
41,0,0,true,0,0,0,"battle/Battle Walk",0,1,0,1,3,0,false,false,true,false,true
42,0,0,true,0,0,0,"battle/Battle Walk Left",0,1,0,1,3,0,false,false,true,false,true
43,0,0,true,0,0,0,"battle/Battle Walk Right",0,1,0,1,3,0,false,false,true,false,true
44,0,0,true,0,0,0,"battle/Battle Walk Back",0,1,0,1,3,0,false,false,true,false,true
45,0,1,false,0,0,0,"battle/Battle Walk Start",0,1,0,1,3,0,false,false,true,false,true
46,0,1,false,0,0,0,"battle/Battle Walk BackRight",0,1,0,1,3,0,false,false,true,false,true
47,0,1,false,0,0,0,"battle/Battle Walk BackLeft",0,1,0,1,3,0,false,false,true,false,true
48,0,1,false,0,0,0,"battle/Battle Walk End",0,1,0,1,3,0,false,false,true,false,true
49,0,1,false,0,0,0,"",0,0,0,0,0,0,false,false,false,false,true
50,0,0,true,0,0,0,"battle/Battle Run",0,1,0,1,3,0,false,false,true,false,true
51,0,0,true,0,0,0,"battle/Battle Run Left",0,1,0,1,3,0,false,false,true,false,true
52,0,0,true,0,0,0,"battle/Battle Run Right",0,1,0,1,3,0,false,false,true,false,true
53,0,1,false,0,0,0,"battle/Battle Run Start",0,1,0,1,3,0,false,false,true,false,true
54,0,1,false,0,0,0,"battle/Battle Run Back Right",0,1,0,1,3,0,false,false,true,false,true
55,0,1,false,0,0,0,"battle/Battle Run Back Left",0,1,0,1,3,0,false,false,true,false,true
56,0,1,false,0,0,0,"battle/Battle Run Stop",0,1,0,1,3,0,false,false,true,false,true
57,0,1,false,0,0,0,"",0,0,0,0,0,0,false,false,false,false,true
58,0,0,true,0,0,0,"battle/Battle Sprint",0,1,0,1,3,0,false,false,true,true,true
59,0,1,false,0,0,0,"battle/Battle Jump",0,1,0,1,3,0,false,false,true,false,true
60,0,0,false,0,0,0,"battle/Battle Jump Fall",0,1,0,1,3,0,false,false,true,false,true
61,0,1,false,0,0,0,"battle/Battle Jump Land",0,1,0,1,3,0,false,false,true,false,true
62,0,1,false,0,3,0,"normal/Damage",0,0,0,0,3,0,false,false,true,false,true
63,0,1,false,0,3,0,"normal/Damage Continuous",0,0,0,0,3,0,false,false,true,false,true
64,0,1,false,0,3,1,"normal/knockback start",0,0,0,0,3,0,false,false,true,false,true
65,0,1,false,0,3,0,"normal/knockback end",0,0,0,0,3,0,false,false,true,false,true
66,0,5,false,0,0,1,"normal/dead",0,4,0,2,3,2,false,false,true,false,true
67,0,5,true,0,0,1,"normal/dead pose",0,4,0,2,3,3,false,false,true,false,true
68,0,1,false,0,3,0,"battle/Battle damage",0,0,0,0,3,0,false,false,true,false,true
69,0,1,false,0,3,0,"battle/Battle damage continuous",0,0,0,0,3,0,false,false,true,false,true
70,0,1,false,0,3,1,"battle/Battle knockback start",0,0,0,0,3,0,false,false,true,false,true
71,0,1,false,0,3,0,"battle/Battle knockback end",0,0,0,0,3,0,false,false,true,false,true
72,0,5,false,0,0,1,"battle/Battle dead",0,3,0,1,3,0,false,false,true,false,true
73,0,5,true,0,0,1,"battle/Battle dead pose",0,3,0,1,3,0,false,false,true,false,true
74,0,1,false,0,0,1,"battle/Battle mon_float_dead_start",0,2,0,2,3,0,false,false,true,false,true
75,0,0,true,0,0,1,"battle/Battle mon_float_dead_loop",0,2,0,2,3,0,false,false,true,false,true
76,0,1,false,0,0,1,"battle/Battle mon_float_dead_landing",0,2,0,2,3,0,false,false,true,false,true
77,0,2,false,0,0,1,"normal/Revive",0,2,1,2,3,4,false,false,true,true,true
78,0,2,false,0,0,1,"battle/Weapon Guard",0,1,0,1,3,0,false,false,true,false,true
79,0,2,false,0,0,1,"battle/Shield Guard",0,1,0,1,3,0,false,false,true,false,true
80,1,1,false,0,0,1,"normal/event_action_start",0,2,1,2,3,38,true,false,false,true,true
81,2,0,true,0,0,1,"normal/Pickup something",0,2,1,2,3,39,true,false,false,true,true
82,0,1,false,0,0,1,"normal/event_action_end",0,2,1,2,3,40,false,false,false,true,true
83,1,3,false,0,0,1,"normal/item_start",0,2,1,2,3,14,true,false,true,true,true
84,2,0,true,0,0,1,"normal/item_loop",0,2,1,2,3,15,true,false,true,true,true
85,0,3,false,0,0,1,"normal/Item use",0,2,1,2,0,16,true,false,true,true,true
86,0,3,false,0,0,1,"normal/item_set",0,2,0,2,3,0,false,false,true,false,true
87,0,3,false,0,0,1,"normal/item_eat",0,2,1,2,0,16,true,false,true,false,true
88,0,3,false,0,0,1,"normal/item_drink",0,2,1,2,0,16,true,false,true,false,true
89,1,3,false,0,0,1,"battle/item_start",0,1,0,1,3,0,true,true,true,false,true
90,2,0,true,0,0,1,"battle/item_loop",0,1,0,0,3,0,true,true,true,false,true
91,0,3,false,0,0,1,"battle/Item use",0,1,1,1,3,0,true,true,false,true,true
92,1,2,false,0,0,1,"normal/magic_cmn_start",0,2,0,2,3,0,true,true,true,false,true
93,2,0,true,0,0,1,"normal/magic_cmn_loop",0,2,0,2,3,0,true,true,true,false,true
94,1,2,false,0,0,1,"battle/FireIV part1",0,1,0,1,3,0,true,true,true,false,true
95,2,0,true,0,0,1,"battle/FireIV part2",0,1,0,1,3,0,true,true,true,false,true
96,1,2,false,0,0,1,"battle/Begin harp",0,2,0,2,3,0,true,true,true,false,true
97,2,0,true,0,0,1,"battle/Swift harp strumming",0,2,0,2,3,0,true,true,true,false,true
98,1,2,false,0,0,1,"battle/magic_cnj_start",0,1,0,1,3,0,true,true,true,false,true
99,2,0,true,0,0,1,"battle/magic_cnj_loop",0,1,0,1,3,0,true,true,true,false,true
100,1,2,false,0,0,1,"battle/magic_swl_start",0,1,0,1,3,0,true,true,true,false,true
101,2,0,true,0,0,1,"battle/magic_swl_loop",0,1,0,1,3,0,true,true,true,false,true
102,1,2,false,0,0,1,"battle/magic_pld_start",0,1,0,1,3,0,true,true,true,false,true
103,2,0,true,0,0,1,"battle/magic_pld_loop",0,1,0,1,3,0,true,true,true,false,true
104,1,2,false,0,0,1,"battle/magic_sum_start",0,1,0,1,3,0,true,true,true,false,true
105,2,0,true,0,0,1,"battle/magic_sum_loop",0,1,0,1,3,0,true,true,true,false,true
106,1,2,false,0,0,1,"battle/magic_thm_start",0,1,0,1,3,0,true,true,true,false,true
107,2,0,true,0,0,1,"battle/magic_thm_loop",0,1,0,1,3,0,true,true,true,false,true
108,1,2,false,0,0,1,"battle/magic_wht_start",0,1,0,1,3,0,true,true,true,false,true
109,2,0,true,0,0,1,"battle/magic_wht_loop",0,1,0,1,3,0,true,true,true,false,true
110,1,2,false,0,0,1,"battle/magic_sch_start",0,1,0,1,3,0,true,true,true,false,true
111,2,0,true,0,0,1,"battle/magic_sch_loop",0,1,0,1,3,0,true,true,true,false,true
112,0,2,false,0,0,1,"battle/auto_attack1",0,1,2,1,3,0,false,true,false,true,true
113,0,2,false,0,0,1,"battle/auto_attack2",0,1,2,1,3,0,false,true,false,true,true
114,0,2,false,0,0,1,"battle/auto_attack3",0,1,2,1,3,0,false,true,false,true,true
115,0,0,true,0,13,0,"overlay/slot1_default",0,0,0,0,3,0,false,false,true,false,true
