Index,0 [UINT(0x7)][0x4],1 [UBYTE(0x3)][0x8],2 [STRING(0x0)][0x0],3 [BBOOL(0x19)][0x9],4 [BBOOL(0x1a)][0x9]
0,0,2,"Keiner",false,true
1,14999504,2,"Schneeweiß",false,true
2,11315362,2,"Aschgrau",false,true
3,9013124,2,"Goobbuegrau",false,true
4,6645093,2,"Schiefergrau",false,true
5,4736834,2,"Anthrazit",false,true
6,2828579,2,"Rußschwarz",false,true
7,15114134,4,"Rosarot",false,true
8,8612201,4,"Altrosa",false,true
9,5969705,4,"Rolanbeerenrot",false,true
10,7871002,4,"Dalamudrot",false,true
11,6431239,4,"Rostrot",false,true
12,4527377,4,"Weinrot",false,true
13,13397086,4,"Korallenrosa",false,true
14,9517863,4,"Blutrot",false,true
15,14985866,4,"Lachsrosa",false,true
16,12016685,5,"Abendrot",false,true
17,8206598,5,"Tafelbergrot",false,true
18,6966071,5,"Borkenbraun",false,true
19,7224612,5,"Schokoladenbraun",false,true
20,5188895,5,"Rotbraun",false,true
21,3154203,5,"Koboldbraun",false,true
22,13209942,5,"Korkbraun",false,true
23,10055231,5,"Qiqirnbraun",false,true
24,8084525,5,"Opo-Opobraun",false,true
25,10651484,5,"Steinbockbraun",false,true
26,12940324,5,"Kürbisorange",false,true
27,9328667,5,"Eichelbraun",false,true
28,6570518,5,"Obstbraun",false,true
29,4008205,5,"Kastanienbraun",false,true
30,12166281,5,"Kartonbraun",false,true
31,9601388,5,"Schieferbraun",false,true
32,6378053,5,"Maulwurfsbraun",false,true
33,4141865,5,"Lehmbraun",false,true
34,15455136,6,"Knochenweiß",false,true
35,12034928,6,"Ul'dahbraun",false,true
36,14398551,6,"Wüstengelb",false,true
37,16434731,6,"Honiggelb",false,true
38,14982708,6,"Maisgelb",false,true
39,12355588,6,"Coeurlgelb",false,true
40,15914864,6,"Cremegelb",false,true
41,10847280,6,"Halataligelb",false,true
42,4207377,6,"Rosinenbraun",false,true
43,5788208,7,"Schlammgrün",false,true
44,12303242,7,"Sylphengrün",false,true
45,11251796,7,"Limettengrün",false,true
46,7369510,7,"Moosgrün",false,true
47,9149539,7,"Grasgrün",false,true
48,4936242,7,"Olivgrün",false,true
49,3290657,7,"Sumpfgrün",false,true
50,10204003,7,"Apfelgrün",false,true
51,6652481,7,"Kaktusgrün",false,true
52,2640684,7,"Jägergrün",false,true
53,4219705,7,"Ochugrün",false,true
54,6255960,7,"Adaman-Taimaigrün",false,true
55,3886396,7,"Nophicagrün",false,true
56,1976865,7,"Waldgrün",false,true
57,9878969,7,"Azurblau",false,true
58,4420210,7,"Türkis",false,true
59,2049606,7,"Morbolgrün",false,true
60,11715790,8,"Eisblau",false,true
61,8630482,8,"Himmelblau",false,true
62,6586784,8,"Seenebelblau",false,true
63,3893382,8,"Pfauenblau",false,true
64,1850708,8,"Rhotanoblau",false,true
65,9345964,8,"Leichenblau",false,true
66,5199718,8,"Erdseimblau",false,true
67,3094609,8,"Indigoblau",false,true
68,1711911,8,"Tintenblau",false,true
69,5996480,8,"Raptorenblau",false,true
70,3102857,8,"Othardblau",false,true
71,2310514,8,"Sturmblau",false,true
72,1124676,8,"Nichtsblau",false,true
73,2568295,8,"Königsblau",false,true
74,1579319,8,"Mitternachtsblau",false,true
75,3618631,8,"Schattenblau",false,true
76,3222871,8,"Tiefblau",false,true
77,8880046,9,"Lavendelblau",false,true
78,5326176,9,"Düsterviolett",false,true
79,3288123,9,"Johannisbeerenviolett",false,true
80,12033724,9,"Irisviolett",false,true
81,3877437,9,"Weintraubenviolett",false,true
82,16699125,9,"Lotusrosa",false,true
83,14457802,9,"Kolibrirosa",false,true
84,7950956,9,"Pflaumenviolett",false,true
85,6697038,9,"Königsviolett",false,true
86,0,0,"",false,false
87,0,0,"",false,false
88,0,0,"",false,false
89,0,0,"",false,false
90,0,0,"",false,false
91,0,0,"",false,false
92,0,0,"",false,false
93,0,0,"",false,false
94,0,0,"",false,false
95,0,0,"",false,false
96,0,0,"",false,false
97,0,0,"",false,false
98,0,0,"",false,false
99,0,0,"",false,false
100,0,0,"",false,false
101,16382196,10,"Wolkenweiß",false,true
102,1973790,10,"Rabenschwarz",false,true
103,16632006,10,"Pastellrosa",false,true
104,3283225,10,"Dunkelrot",false,true
105,2629916,10,"Dunkelbraun",false,true
106,12242858,10,"Pastellgrün",false,true
107,1387564,10,"Dunkelgrün",false,true
108,9872601,10,"Pastellblau",false,true
109,1187629,10,"Dunkelblau",false,true
110,12301786,10,"Pastellviolett",false,true
111,2301990,10,"Dunkelviolett",false,true
112,10987431,10,"Metallic Silber",true,false
113,15590973,10,"Metallic Gold",true,false
114,11935051,10,"Metallic Rot",true,false
115,14978095,10,"Metallic Orange",true,false
116,16046662,10,"Metallic Gelb",true,false
117,2271063,10,"Metallic Grün",true,false
118,6214886,10,"Metallic Himmelblau",true,false
119,5264089,10,"Metallic Blau",true,false
120,10708674,10,"Metallic Violett",true,false
