Index,0 [UINT(0x7)][0x4],1 [UBYTE(0x3)][0x8],2 [STRING(0x0)][0x0],3 [BBOOL(0x19)][0x9],4 [BBOOL(0x1a)][0x9]
0,0,2,"なし",false,true
1,14999504,2,"スノウホワイト",false,true
2,11315362,2,"アッシュグレイ",false,true
3,9013124,2,"グゥーブーグレイ",false,true
4,6645093,2,"スレートグレイ",false,true
5,4736834,2,"チャコールグレイ",false,true
6,2828579,2,"スートブラック",false,true
7,15114134,4,"ローズピンク",false,true
8,8612201,4,"ライラックパープル",false,true
9,5969705,4,"ロランベリーレッド",false,true
10,7871002,4,"ダラガブレッド",false,true
11,6431239,4,"ラストレッド",false,true
12,4527377,4,"ワインレッド",false,true
13,13397086,4,"コーラルピンク",false,true
14,9517863,4,"ブラッドレッド",false,true
15,14985866,4,"サーモンピンク",false,true
16,12016685,5,"サンセットオレンジ",false,true
17,8206598,5,"メサレッド",false,true
18,6966071,5,"バークブラウン",false,true
19,7224612,5,"チョコレートブラウン",false,true
20,5188895,5,"ラセットブラウン",false,true
21,3154203,5,"コボルドブラウン",false,true
22,13209942,5,"コルクブラウン",false,true
23,10055231,5,"キキルンブラウン",false,true
24,8084525,5,"オポオポブラウン",false,true
25,10651484,5,"アルドゴートブラウン",false,true
26,12940324,5,"パンプキンオレンジ",false,true
27,9328667,5,"エーコンブラウン",false,true
28,6570518,5,"オーチャードブラウン",false,true
29,4008205,5,"チェスナットブラウン",false,true
30,12166281,5,"ゴブリンブラウン",false,true
31,9601388,5,"シェールブラウン",false,true
32,6378053,5,"モールブラウン",false,true
33,4141865,5,"ロームブラウン",false,true
34,15455136,6,"ボーンホワイト",false,true
35,12034928,6,"ウルダハンブラウン",false,true
36,14398551,6,"チョコボイエロー",false,true
37,16434731,6,"ハニーイエロー",false,true
38,14982708,6,"ミリオンコーンイエロー",false,true
39,12355588,6,"クァールイエロー",false,true
40,15914864,6,"クリームイエロー",false,true
41,10847280,6,"ハラタリイエロー",false,true
42,4207377,6,"レーズンブラウン",false,true
43,5788208,7,"マッドグリーン",false,true
44,12303242,7,"シルフグリーン",false,true
45,11251796,7,"ライムグリーン",false,true
46,7369510,7,"モスグリーン",false,true
47,9149539,7,"メドウグリーン",false,true
48,4936242,7,"オリーヴグリーン",false,true
49,3290657,7,"マーシュグリーン",false,true
50,10204003,7,"アップルグリーン",false,true
51,6652481,7,"サボテンダーグリーン",false,true
52,2640684,7,"ハンターグリーン",false,true
53,4219705,7,"オチューグリーン",false,true
54,6255960,7,"アダマンタスグリーン",false,true
55,3886396,7,"ノフィカグリーン",false,true
56,1976865,7,"ディープウッドグリーン",false,true
57,9878969,7,"セレストグリーン",false,true
58,4420210,7,"ターコイズグリーン",false,true
59,2049606,7,"モルボルグリーン",false,true
60,11715790,8,"アイスブルー",false,true
61,8630482,8,"スカイブルー",false,true
62,6586784,8,"シーフォグブルー",false,true
63,3893382,8,"ピーコックブルー",false,true
64,1850708,8,"ロータノブルー",false,true
65,9345964,8,"コープスブルー",false,true
66,5199718,8,"セルレアムブルー",false,true
67,3094609,8,"ウォードブルー",false,true
68,1711911,8,"インクブルー",false,true
69,5996480,8,"ラプトルブルー",false,true
70,3102857,8,"オサードブルー",false,true
71,2310514,8,"ストームブルー",false,true
72,1124676,8,"ヴォイドブルー",false,true
73,2568295,8,"ロイヤルブルー",false,true
74,1579319,8,"ミッドナイトブルー",false,true
75,3618631,8,"シャドウブルー",false,true
76,3222871,8,"アビサルブルー",false,true
77,8880046,9,"ラベンダーブルー",false,true
78,5326176,9,"グルームパープル",false,true
79,3288123,9,"カラントパープル",false,true
80,12033724,9,"アイリスパープル",false,true
81,3877437,9,"グレープパープル",false,true
82,16699125,9,"ロータスピンク",false,true
83,14457802,9,"コリブリピンク",false,true
84,7950956,9,"プラムパープル",false,true
85,6697038,9,"リーガルパープル",false,true
86,0,0,"",false,false
87,0,0,"",false,false
88,0,0,"",false,false
89,0,0,"",false,false
90,0,0,"",false,false
91,0,0,"",false,false
92,0,0,"",false,false
93,0,0,"",false,false
94,0,0,"",false,false
95,0,0,"",false,false
96,0,0,"",false,false
97,0,0,"",false,false
98,0,0,"",false,false
99,0,0,"",false,false
100,0,0,"",false,false
101,16382196,10,"ピュアホワイト",false,true
102,1973790,10,"ジェットブラック",false,true
103,16632006,10,"パステルピンク",false,true
104,3283225,10,"ダークレッド",false,true
105,2629916,10,"ダークブラウン",false,true
106,12242858,10,"パステルグリーン",false,true
107,1387564,10,"ダークグリーン",false,true
108,9872601,10,"パステルブルー",false,true
109,1187629,10,"ダークブルー",false,true
110,12301786,10,"パステルパープル",false,true
111,2301990,10,"ダークパープル",false,true
112,10987431,10,"シルバー",true,false
113,15590973,10,"ゴールド",true,false
114,11935051,10,"メタリックレッド",true,false
115,14978095,10,"メタリックオレンジ",true,false
116,16046662,10,"メタリックイエロー",true,false
117,2271063,10,"メタリックグリーン",true,false
118,6214886,10,"メタリックスカイブルー",true,false
119,5264089,10,"メタリックブルー",true,false
120,10708674,10,"メタリックパープル",true,false
