Index,0 [STRING(0x0)][0x0],1 [STRING(0x0)][0x4],2 [BYTE(0x2)][0x8],3 [BYTE(0x2)][0x9],4 [BYTE(0x2)][0xa],5 [BYTE(0x2)][0xb],6 [BYTE(0x2)][0xc],7 [BYTE(0x2)][0xd],8 [BYTE(0x2)][0xe],9 [BYTE(0x2)][0xf]
0,"None","None",0,0,0,0,0,0,0,0
1,"Midlander","Midlander",0,0,2,0,-1,3,-1,0
2,"Highlander","Highlander",0,0,3,2,0,-2,0,0
3,"Wildwood","Wildwood",0,0,0,-1,3,2,-1,0
4,"Duskwight","Duskwight",0,0,0,-1,0,3,1,0
5,"Plainsfolk","Plainsfolk",0,0,-1,-1,3,2,0,0
6,"Dunesfolk","Dunesfolk",0,0,-1,-2,1,2,3,0
7,"Seeker of the Sun","Seeker of the Sun",0,0,2,0,3,-1,-1,0
8,"Keeper of the Moon","Keeper of the Moon",0,0,-1,-2,2,1,3,0
9,"Sea Wolf","Sea Wolf",0,0,2,3,-1,-2,1,0
10,"Hellsguard","Hellsguard",0,0,0,3,-2,0,2,0
11,"Raen","Raen",0,0,-1,-1,2,0,3,0
12,"Xaela","Xaela",0,0,3,2,0,0,-2,0
