Index,0 [STRING(0x0)][0x0],1 [STRING(0x0)][0x4],2 [BYTE(0x2)][0x8],3 [BYTE(0x2)][0x9],4 [BYTE(0x2)][0xa],5 [BYTE(0x2)][0xb],6 [BYTE(0x2)][0xc],7 [BYTE(0x2)][0xd],8 [BYTE(0x2)][0xe],9 [BYTE(0x2)][0xf]
0,"なし","なし",0,0,0,0,0,0,0,0
1,"ミッドランダー ","ミッドランダー ",0,0,2,0,-1,3,-1,0
2,"ハイランダー","ハイランダー",0,0,3,2,0,-2,0,0
3,"フォレスター","フォレスター",0,0,0,-1,3,2,-1,0
4,"シェーダー","シェーダー",0,0,0,-1,0,3,1,0
5,"プレーンフォーク","プレーンフォーク",0,0,-1,-1,3,2,0,0
6,"デューンフォーク","デューンフォーク",0,0,-1,-2,1,2,3,0
7,"サンシーカー","サンシーカー",0,0,2,0,3,-1,-1,0
8,"ムーンキーパー","ムーンキーパー",0,0,-1,-2,2,1,3,0
9,"ゼーヴォルフ","ゼーヴォルフ",0,0,2,3,-1,-2,1,0
10,"ローエンガルデ","ローエンガルデ",0,0,0,3,-2,0,2,0
11,"アウラ・レン","アウラ・レン",0,0,-1,-1,2,0,3,0
12,"アウラ・ゼラ","アウラ・ゼラ",0,0,3,2,0,0,-2,0
