Index,0 [INT(0x6)][0x18],1 [STRING(0x0)][0x0],2 [STRING(0x0)][0x4],3 [STRING(0x0)][0x8],4 [STRING(0x0)][0xc],5 [STRING(0x0)][0x10],6 [STRING(0x0)][0x14]
0,0,"","","","","",""
1,60201,"Klar","klar","","","",""
2,60202,"Heiter","heiter","","","",""
3,60203,"Wolkig","wolkig","","","",""
4,60204,"Neblig","nebelig","","","",""
5,60205,"Windig","windig","","","",""
6,60206,"Stürmisch","stürmisch","","","",""
7,60207,"Regnerisch","regnerisch","","","",""
8,60208,"Wolkenbruch","wolkenbruchartig","","","",""
9,60209,"Gewittrig","gewittrig","","","",""
10,60210,"Gewitter","gewittrig","","","",""
11,60211,"Staubig","staubig","","","",""
12,60212,"Sandsturm","sandstürmisch","","","",""
13,60213,"Heiß","heiß","","","",""
14,60214,"Gluthitze","glutheiß","","","",""
15,60215,"Schnee","verschneit","","","",""
16,60216,"Schneesturm","schneestürmisch","","","",""
17,60218,"Unheimlich","unheimlich","","","",""
18,60217,"Aurora","aurorenhaft","","","",""
19,60251,"Dunkel","dunkel","","","",""
20,60255,"Düsternis","düster","","","",""
21,60203,"Wolkig","wolkig","","","",""
22,60259,"Wetterleuchten","wetterleuchtend","","","",""
23,60258,"Tosend","tosend","","","",""
24,60258,"Tosend","tosend","","","",""
25,60257,"Finster","finster","","","",""
26,60252,"Gluthitze","glutheiß","","","",""
27,60256,"Unheimlich","unheimlich","","","",""
28,60253,"Stürmisch","stürmisch","","","",""
29,60254,"Rauchschwaden","rauchig","","","",""
30,60202,"Heiter","heiter","","","",""
31,60202,"Heiter","heiter","","","",""
32,60202,"Heiter","heiter","","","",""
33,60202,"Heiter","heiter","","","",""
34,60202,"Heiter","heiter","","","",""
35,60260,"Blendend","blendend","","","",""
36,60261,"Kernstrahlung","radioaktiv","","","",""
37,60261,"Kernstrahlung","radioaktiv","","","",""
38,60261,"Kernstrahlung","radioaktiv","","","",""
39,60261,"Kernstrahlung","radioaktiv","","","",""
40,60262,"Wolkenschleier","unnatürlich wolkig","","","",""
41,60262,"Wolkenschleier","unnatürlich wolkig","","","",""
42,60262,"Wolkenschleier","unnatürlich wolkig","","","",""
43,60262,"Wolkenschleier","unnatürlich wolkig","","","",""
44,60264,"Bedrückend","bedrückend","","","",""
45,60264,"Bedrückend","bedrückend","","","",""
46,60264,"Bedrückend","bedrückend","","","",""
47,60264,"Bedrückend","bedrückend","","","",""
48,60264,"Bedrückend","bedrückend","","","",""
49,60219,"Schattenwind","schattenwindig","","","",""
50,60220,"Schattengewitter","schattengewittrig","","","",""
51,60263,"Qualm","qualmig","","","",""
52,60202,"Heiter","heiter","","","",""
53,60226,"Königsgewitter","königlich gewittrig","","","",""
54,60227,"Hochspannung","hochspannend","","","",""
55,60226,"Königsgewitter","königlich gewittrig","","","",""
56,60264,"Numinos","numinos","","","",""
57,60209,"Gewittrig","gewittrig","","","",""
58,60209,"Gewittrig","gewittrig","","","",""
59,0,"","","","","",""
60,60265,"Mystisch","mystisch","","","",""
61,60265,"Mystisch","mystisch","","","",""
62,60207,"Regnerisch","regnerisch","","","",""
63,60202,"Heiter","heiter","","","",""
64,60207,"Regnerisch","regnerisch","","","",""
65,60202,"Heiter","heiter","","","",""
66,60266,"Hass","hasserfüllt","","","",""
67,60266,"Hass","hasserfüllt","","","",""
68,60202,"Unterirdisch","unterirdisch","","","",""
69,60267,"Gerechtigkeit","gerecht","","","",""
70,60267,"Gerechtigkeit","gerecht","","","",""
71,60268,"Zeitfluss","zeitlich ablaufend","","","",""
72,60268,"Zeitfluss","zeitlich ablaufend","","","",""
73,60268,"Zeitfluss","zeitlich ablaufend","","","",""
74,60269,"Dämonisch unendlich","dämonisch unendlich","","","",""
75,60269,"Dämonisch unendlich","dämonisch unendlich","","","",""
76,60269,"Dämonisch unendlich","dämonisch unendlich","","","",""
77,60274,"Dimensionsspaltend","dimensionsspaltend","","","",""
78,60274,"Dimensionsspaltend","dimensionsspaltend","","","",""
79,60274,"Dimensionsspaltend","dimensionsspaltend","","","",""
80,60271,"Feiersturm","feierlich stürmisch","","","",""
81,60271,"Feiersturm","feierlich stürmisch","","","",""
82,60270,"Ewigschön","ewigschön","","","",""
83,60270,"Ewigschön","ewigschön","","","",""
84,60272,"Drachensturm","drachenstürmisch","","","",""
85,60272,"Drachensturm","drachenstürmisch","","","",""
86,60271,"Feiersturm","feierlich stürmisch","","","",""
87,60273,"Blitzsturm","blitzend stürmisch","","","",""
88,60209,"Gewittrig","gewittrig","","","",""
89,60274,"Dimensionsspaltend","dimensionsspaltend","","","",""
90,60202,"Heiter","heiter","","","",""
91,60201,"Klar","klar","","","",""
92,60275,"Weißer Zyklon","zyklonisch","","","",""
93,60275,"Weißer Zyklon","zyklonisch","","","",""
94,60275,"Weißer Zyklon","zyklonisch","","","",""
95,60277,"Ultimativ","ultimativ","","","",""
96,60275,"Weißer Zyklon","zyklonisch","","","",""
97,60276,"Dunkle Mondnacht","dunkelmondisch","","","",""
98,60276,"Dunkle Mondnacht","dunkelmondisch","","","",""
99,60276,"Dunkle Mondnacht","dunkelmondisch","","","",""
100,60276,"Dunkle Mondnacht","dunkelmondisch","","","",""
101,60202,"Heiter","heiter","","","",""
