Index,0 [INT(0x6)][0x18],1 [STRING(0x0)][0x0],2 [STRING(0x0)][0x4],3 [STRING(0x0)][0x8],4 [STRING(0x0)][0xc],5 [STRING(0x0)][0x10],6 [STRING(0x0)][0x14]
0,0,"","","","","",""
1,60201,"快晴","","","","",""
2,60202,"晴れ","","","","",""
3,60203,"曇り","","","","",""
4,60204,"霧","","","","",""
5,60205,"風","","","","",""
6,60206,"暴風","","","","",""
7,60207,"雨","","","","",""
8,60208,"暴雨","","","","",""
9,60209,"雷","","","","",""
10,60210,"雷雨","","","","",""
11,60211,"砂塵","","","","",""
12,60212,"砂嵐","","","","",""
13,60213,"熱波","","","","",""
14,60214,"灼熱波","","","","",""
15,60215,"雪","","","","",""
16,60216,"吹雪","","","","",""
17,60218,"妖霧","","","","",""
18,60217,"オーロラ","","","","",""
19,60251,"闇","","","","",""
20,60255,"闘気","","","","",""
21,60203,"曇り","","","","",""
22,60259,"雷雲","","","","",""
23,60258,"時化","","","","",""
24,60258,"時化","","","","",""
25,60257,"曇天","","","","",""
26,60252,"灼熱波","","","","",""
27,60256,"妖霧","","","","",""
28,60253,"暴風","","","","",""
29,60254,"噴煙","","","","",""
30,60202,"晴れ","","","","",""
31,60202,"晴れ","","","","",""
32,60202,"晴れ","","","","",""
33,60202,"晴れ","","","","",""
34,60202,"晴れ","","","","",""
35,60260,"極光","","","","",""
36,60261,"龍核","","","","",""
37,60261,"龍核","","","","",""
38,60261,"龍核","","","","",""
39,60261,"龍核","","","","",""
40,60262,"群雲","","","","",""
41,60262,"群雲","","","","",""
42,60262,"群雲","","","","",""
43,60262,"群雲","","","","",""
44,60264,"神意","","","","",""
45,60264,"神意","","","","",""
46,60264,"神意","","","","",""
47,60264,"神意","","","","",""
48,60264,"神意","","","","",""
49,60219,"霊風","","","","",""
50,60220,"放電","","","","",""
51,60263,"煙霧","","","","",""
52,60202,"晴れ","","","","",""
53,60226,"獣雷","","","","",""
54,60227,"雷波","","","","",""
55,60226,"獣雷","","","","",""
56,60264,"神意","","","","",""
57,60209,"雷","","","","",""
58,60209,"雷","","","","",""
59,0,"","","","","",""
60,60265,"神秘","","","","",""
61,60265,"神秘","","","","",""
62,60207,"雨","","","","",""
63,60202,"晴れ","","","","",""
64,60207,"雨","","","","",""
65,60202,"晴れ","","","","",""
66,60266,"邪天","","","","",""
67,60266,"邪天","","","","",""
68,60202,"晴れ","","","","",""
69,60267,"調和","","","","",""
70,60267,"調和","","","","",""
71,60268,"時流","","","","",""
72,60268,"時流","","","","",""
73,60268,"時流","","","","",""
74,60269,"鬼気","","","","",""
75,60269,"鬼気","","","","",""
76,60269,"鬼気","","","","",""
77,60274,"次元","","","","",""
78,60274,"次元","","","","",""
79,60274,"次元","","","","",""
80,60271,"嵐天","","","","",""
81,60271,"嵐天","","","","",""
82,60270,"美天","","","","",""
83,60270,"美天","","","","",""
84,60272,"龍天","","","","",""
85,60272,"龍天","","","","",""
86,60271,"嵐天","","","","",""
87,60273,"迅雷","","","","",""
88,60209,"雷","","","","",""
89,60274,"次元","","","","",""
90,60202,"晴れ","","","","",""
91,60201,"快晴","","","","",""
92,60275,"白嵐","","","","",""
93,60275,"白嵐","","","","",""
94,60275,"白嵐","","","","",""
95,60277,"幻想","","","","",""
96,60275,"白嵐","","","","",""
97,60276,"月夜","","","","",""
98,60276,"月夜","","","","",""
99,60276,"月夜","","","","",""
100,60276,"月夜","","","","",""
101,60202,"晴れ","","","","",""
